역명코드,한글,한자,로마자,좌표
0001,서울,서울(驛),Seoul,"[37.55472, 126.97083]"
0002,영등포,永登浦,Yeongdeungpo,"[37.51556, 126.90778]"
0003,수원,水原,Suwon,"[37.262833, 127.00264]"
0004,평택,平澤,Pyeongtaek,"[36.9908, 127.08517]"
0005,천안,天安,Cheonan,"[36.81012, 127.14683]"
0006,전의,全義,Jeonui,"[36.67833, 127.20306]"
0007,조치원,鳥致院,Jochiwon,"[36.604336, 127.295425]"
0008,부강,芙江,Bugang,"[36.53222, 127.36528]"
0009,신탄진,新灘津,Sintanjin,"[36.449104, 127.428406]"
0010,대전,大田,Daejeon,"[36.331894, 127.434525]"
0011,영동,永同,Yeongdong,"[36.17222, 127.78667]"
0012,김천,金泉,Gimcheon,"[36.12333, 128.11472]"
0013,구미,龜尾,Gumi,"[36.12877, 128.32962]"
0014,왜관,倭館,Waegwan,"[35.99222, 128.40028]"
0015,동대구,東大邱,Dongdaegu,"[35.879723, 128.62921]"
0016,청도,淸道,Cheongdo,"[35.64, 128.74638]"
0017,밀양,密陽,Miryang,"[35.47531, 128.7702]"
0018,삼랑진,三浪津,Samnangjin,"[35.39917, 128.84306]"
0019,구포,龜浦,Gupo,"[35.204613, 128.99655]"
0020,부산,釜山,Busan,"[35.11499, 129.04208]"
0022,옥천,沃川,Okcheon,"[36.297657, 127.565285]"
0023,대구,大邱,Daegu,"[35.87593, 128.59605]"
0024,경산,慶山,Gyeongsan,"[35.819294, 128.72806]"
0025,서대전,西大田,Seodaejeon,"[36.322475, 127.4033]"
0026,연산,連山,Yeonsan,"[36.21222, 127.20056]"
0027,논산,論山,Nonsan,"[36.20727, 127.0925]"
0028,강경,江景,Ganggyeong,"[36.15417, 127.01556]"
0029,함열,咸悅,Hamyeol,"[36.079952, 126.95715]"
0030,익산,益山,Iksan,"[35.941635, 126.9458]"
0031,김제,金堤,Gimje,"[35.793503, 126.90543]"
0032,신태인,新泰仁,Sintaein,"[35.68752, 126.8843]"
0033,정읍,井邑,Jeongeup,"[35.57556, 126.8425]"
0034,백양사,白羊寺,Baegyangsa,"[35.43139, 126.80806]"
0035,장성,長城,Jangseong,"[35.300114, 126.77962]"
0036,광주송정,光州松汀,Gwangjusongjeong,"[35.137844, 126.79023]"
0037,나주,羅州,Naju,"[35.01426, 126.716995]"
0038,망상,望祥,Mangsang,"[37.5875, 129.09721]"
0039,함평,咸平,Hampyeong,"[35.02398, 126.538795]"
0040,일로,一老,Illo,"[34.847496, 126.47655]"
0041,목포,木浦,Mokpo,"[34.79194, 126.38722]"
0042,광주,光州,Gwangju,"[35.165318, 126.90919]"
0043,극락강,極樂江,Geungnakgang,"[35.17618, 126.83059]"
0044,삼례,參禮,Samnye,"[35.906666, 127.064255]"
0045,전주,全州,Jeonju,"[35.8525, 127.16306]"
0046,임실,任實,Imsil,"[35.63313, 127.29005]"
0047,오수,獒樹,Osu,"[35.542946, 127.320595]"
0048,남원,南原,Namwon,"[35.4112, 127.36182]"
0049,곡성,谷城,Gokseong,"[35.283714, 127.30377]"
0050,구례구,求禮口,Guryegu,"[35.16347, 127.45273]"
0051,순천,順天,Suncheon,"[34.94637, 127.502205]"
0052,덕양,德陽,Deogyang,"[34.81222, 127.6275]"
0053,여수EXPO,麗水EXPO,Yeosu-Expo,"[34.75778, 127.74722]"
0054,화순,和順,Hwasun,"[35.051327, 126.961975]"
0055,이양,梨陽,Iyang,"[34.890747, 126.99003]"
0056,진영,進永,Jinyeong,"[35.3038, 128.7299]"
0057,창원,昌原,Changwon,"[35.257538, 128.60652]"
0059,마산,馬山,Masan,"[35.235897, 128.57727]"
0060,함안,咸安,Haman,"[35.24917, 128.42471]"
0061,군북,郡北,Gunbuk,"[35.25153, 128.35048]"
0062,반성,班城,Banseong,"[35.17472, 128.25806]"
0063,진주,晉州,Jinju,"[35.15, 128.11806]"
0064,북천,北川,Bukcheon,"[35.11167, 127.88361]"
0065,하동,河東,Hadong,"[35.06361, 127.76167]"
0066,진상,津上,Jinsang,"[35.0165, 127.7198]"
0068,광양,光陽,Gwangyang,"[34.95611, 127.58778]"
0069,보성,寶城,Boseong,"[34.766712, 127.08268]"
0070,청주,淸州,Cheongju,"[36.646713, 127.39163]"
0071,증평,曾坪,Jeungpyeong,"[36.77806, 127.58306]"
0072,음성,陰城,Eumseong,"[36.92603, 127.7039]"
0073,충주,忠州,Chungju,"[36.97611, 127.90861]"
0074,목행,牧杏,Mokhaeng,"[37.01694, 127.93222]"
0075,예당,禮堂,Yedang,"[34.77874, 127.20293]"
0076,온양온천,溫陽溫泉,Onyangoncheon,"[36.78056, 127.00333]"
0077,도고온천,道高溫泉,Dogooncheon,"[36.749527, 126.88957]"
0078,신례원,新禮院,Sillyewon,"[36.72714, 126.849724]"
0079,예산,禮山,Yesan,"[36.68717, 126.82902]"
0080,삽교,揷橋,Sapgyo,"[36.68028, 126.75167]"
0081,홍성,洪城,Hongseong,"[36.59944, 126.68111]"
0082,광천,廣川,Gwangcheon,"[36.501553, 126.62233]"
0083,대천,大川,Daecheon,"[36.34089, 126.58692]"
0085,판교(충남),板橋,Pangyo,"[36.15568, 126.67934]"
0086,서천,舒川,Seocheon,"[36.08222, 126.70861]"
0088,조성,鳥城,Joseong,"[34.80222, 127.25056]"
0089,벌교,筏橋,Beolgyo,"[34.841816, 127.34575]"
0090,청량리,淸凉里,Cheongnyangni,"[37.58086, 127.048386]"
0091,양평,楊平,Yangpyeong,"[37.49833, 127.49611]"
0093,제천,堤川,Jecheon,"[37.12722, 128.20616]"
0094,삼곡,三谷,Samgok,"[37.075855, 128.27399]"
0095,도담,嶋潭,Dodam,"[37.02436, 128.3265]"
0096,단양,丹陽,Danyang,"[36.973194, 128.34402]"
0097,풍기,豊基,Punggi,"[36.87428, 128.52359]"
